title,author,url,cuisine,image_url,ingredients,instructions,language,nutrients,ratings,reviews,site_name,total_time,yields
Healthy Breakfast Burrito,Omnivore's Cookbook,https://omnivorescookbook.com/healthy-colorful-breakfast-wrap/,American,https://omnivorescookbook.com/wp-content/uploads/2018/01/Healthy-colorful-breakfast-wrap.jpg,"['4 to rtillas', '1/2 cup shredded mozzarella', '4 eggs', '1 teaspoon olive oil', '2 small tomatoes (diced)', '1 avocado (sliced)', '8 boiled shrimp (peeled)', '1/4 lime', 'salt and pepper to taste']","Lightly toast tortillas in a nonstick skillet or oven and transfer to serving plate. Spread mozzarella in the middle of each tortilla.
Beat eggs in a small bowl. Heat olive oil in the same skillet over medium heat. Add egg and stir until egg is just cooked through. Divide the egg into four portions and immediately transfer to the top of each tortilla, letting the heat of the egg melt the cheese.
Top tortillas with tomato, avocado and shrimp. Drizzle lime juice on top. Season with salt and pepper.
Serve immediately.",en-US,{},-1.0,,Omnivore's Cookbook,20,4 serving(s)
Mushroom Omelet with Tomato Sauce Recipe,Maggie Zhu,https://omnivorescookbook.com/recipes/mushroom-omelet/,Fusion,https://omnivorescookbook.com/wp-content/uploads/2018/01/1502_Mushroom-Omelet_002.jpg,"['2 tablespoons olive oil', '2 cloves garlic (minced)', '2 cups sliced mushrooms (I used shiitake, enoki and white mushrooms)', '4 eggs', 'salt and pepper', '1 small tomato (cubed)', '1/2 small onion (cubed)', 'salt and pepper', '1 tablespoon olive oil', '1 clove garlic (minced)', '1/2 teaspoon lemon juice', '2 tablespoons butter', '2 cups minced mushrooms (I used shiitake, eryngii and white mushrooms)', '1/8 teaspoon dried marjoram powder']","To make omelet
Heat 1 tablespoon olive oil in a nonstick skillet over medium high heat until warm. Add garlic, stir a few times until fragrant. Add mushroom. Stir and cook until the liquid is evaporated. Lightly season with salt and pepper. Transfer all the mushrooms to a plate.
Combine 2 eggs and 1/4 teaspoon salt in a small bowl. Mix well.
Heat 1/2 tablespoon oil in the skillet over medium heat until warm. Pour the egg into the skillet and let it cook until the bottom is set. Add half of the mushrooms on top. Fold the omelet into a half-moon shape. Cook a bit more and transfer to a plate. (*see footnote) Cook the other omelet in the same way.
To make tomato sauce
Mix tomato and onion in a medium size bowl. Lightly season with salt and pepper.
Add olive oil and garlic into the same skillet. Heat over medium heat. Stir a few times until fragrant. Turn off heat and immediately pour everything onto the tomato.
Drizzle lemon juice and add cilantro. Mix well and set aside.
To make the mushroom topping
Heat butter in the same skillet over medium heat until melted. Add garlic and stir a few times until fragrant.
Add mushrooms. Stir and cook until the liquid is evaporated.
Lightly season with salt and pepper and sprinkle with marjoram powder. Stir to mix well.
Transfer to a small bowl.
To serve omelet
Add mushroom topping and tomato sauce onto the omelet. Serve immediately.",en-US,{},4.91,,Omnivore's Cookbook,40,2 serving(s)
"Dou Fu Nao (豆腐脑, Beijing-Style Tofu Pudding with Gravy)",Maggie Zhu,https://omnivorescookbook.com/dou-fu-nao/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2021/01/201222_Dou-Fu-Nao-Northern-Chinese-Savory-Douhua_550.jpg,"['10 g (about 25) dried lily flower buds ((yields 1/2 cup rehydrated))', '2.5 g (1 tablespoon) dried wood ear mushrooms ((yield 1/4 cup rehydrated))', '5 g (4 to 5) dried shiitake mushrooms', '1 1/2 tablespoon peanut oil', '1/2 teaspoon Sichuan peppercorns ((Optional))', '2 green onions (, sliced and separated)', '8 oz (250 g) ground pork', '1 tablespoon Shaoxing wine', '2 tablespoons light soy sauce', '1 teaspoon dark soy sauce', '1 cup water', '1/2 teaspoon chicken bouillon powder ((or 1/4 teaspoon salt))', '1 tablespoon cornstarch', '2 servings homemade tofu pudding ((or store-bought sundubu tofu))']","Prep
Gently rinse the dried lily flower buds, wood ear mushrooms, and shiitake mushrooms with tap water and transfer them into three bowls. Add 1/2 cup hot water to each bowl to cover. Let soak until tender throughout, 30 minutes or so. Once done, squeeze out the marinating liquid back into the bowls and gently rinse them with tap water again to remove any dust on the surface. Slice the shitake mushrooms. Cut the lily flowers in half. And chop the wood ear mushrooms into small pieces. Reserve the marinating liquid from the shiitake mushrooms and lily flowers for the gravy.
Prepare gravy
Heat 1 tablespoon oil in a large skillet over medium heat. Add the Sichuan peppercorns. Cook, stirring occasionally, until you can smell a strong fragrance and the peppercorns turn darker (but not black). Scoop out the Sichuan peppercorns and discard them (*Footnote 1).
Add the rehydrated lily flowers, shiitake mushrooms, and wood ear mushrooms. Cook, stirring frequently, for 1 minute or so. Be careful, the rehydrated ingredients might cause oil splatter.
Add the white part of the green onion and the ginger. Cook and stir for 30 seconds to release the fragrance.
Move everything to one side of the pan and add the remaining 1/2 tablespoon oil to the other side. Add the ground pork on top of the oil, then use a spatula to spread it out. Let the pork cook for a minute without moving to brown the bottom, then cut it into small pieces.
When the pork is cooked through, pour in the Shaoxing wine and scrape the pan to release any brown bits.
Pour in the light soy sauce and dark soy sauce. Stir to coat well.
Add the water and the reserved 1 cup of soaking water. And the chicken bouillon powder. Bring to a boil, stirring occasionally, and cook for 2 minutes.
Meanwhile, dissolve the cornstarch in 1 tablespoon of water in a small bowl. Pour the cornstarch slurry into the pan. Stir to mix well and let cook until the sauce thickens. Taste the gravy and adjust the seasoning by adding a pinch of salt, if needed.
Serve
To serve, scoop the tofu pudding using a large spoon (the larger and flatter, the better) into two serving bowls. If too much liquid is pooling in the bowl, tilt the bowl carefully to drain off the excess liquid (it’s OK to have some liquid in the bowl). Ladle the gravy on top of the tofu pudding. Serve immediately.",en-US,"{'servingSize': '1 serving', 'calories': '291 kcal', 'carbohydrateContent': '8.2 g', 'proteinContent': '31.3 g', 'fatContent': '14.3 g', 'saturatedFatContent': '3.1 g', 'cholesterolContent': '83 mg', 'sodiumContent': '987 mg', 'fiberContent': '1 g', 'sugarContent': '0.8 g'}",5.0,,Omnivore's Cookbook,55,2 serving(s)
Chinese Steamed Eggs (鸡蛋羹),Maggie Zhu,https://omnivorescookbook.com/chinese-steamed-eggs/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/08/200806_Chinese-Steamed-Eggs_550.jpg,"['2 large eggs', '1/4 teaspoon salt', '3/4 cup warm water (, or according to the size of your eggs (*Footnote 1))', 'green onions (, Sliced)', 'Light soy sauce ((or tamari for gluten-free) (Optional))', 'Sesame oil']","Prepare the steamer and bring the water to a boil.
Break the eggs into a liquid measuring cup and add the salt. Beat the eggs with a fork until they are smooth, but not airy. Check the volume measurement of the beaten eggs, it should be about 1/2 cup.
Add the water, just under two times the volume of the egg, just slightly above 3/4 cup (about 1 tablespoon more) in most cases (*Footnote 2). Whisk until the mixture is consistent.
Prepare a heat-proof bowl or container that can fit in your steamer. It can be a big wide bowl that’s about 24 oz (700 ml) or two 12-oz (350 ml) ramekins. (*Footnote 3)
Using a fine mesh strainer, strain the eggs into the bowl you prepared. If there are any bubbles on the surface, use a spoon to gently scoop them off. Cover the bowl with plastic wrap and poke a few small holes in it.
Reduce the heat of the steamer to medium-low. Carefully transfer the bowl with the egg into the steamer.
Steam for 7 to 12 minutes, until the eggs are just set. After 7 minutes, lightly shimmy the steamer rack or the bowl to judge how set your eggs are. The eggs should jiggle slightly without any obvious liquid on or under the center of the surface. Let it cook longer, if needed, until the eggs are set. (*Footnote 5)
After the steaming is done, turn the heat off and transfer the bowl onto a coaster or trivet. Let the eggs rest for 5 minutes. Carefully peel off the plastic wrap. Drizzle with sesame oil and light soy sauce and garnish with green onion.
Serve hot as breakfast or as a snack.",en-US,"{'servingSize': '1 serving', 'calories': '92 kcal', 'carbohydrateContent': '0.5 g', 'proteinContent': '6.3 g', 'fatContent': '7.2 g', 'saturatedFatContent': '1.9 g', 'cholesterolContent': '186 mg', 'sodiumContent': '220 mg', 'sugarContent': '0.4 g'}",4.67,,Omnivore's Cookbook,18,1 serving(s)
"Coconut Waffles {Gluten-Free, Vegan} #SundaySupper",Maggie Zhu,https://omnivorescookbook.com/coconut-waffles/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1606_Coconut-Waffles_002.jpg,"['1 can (403 ml) full-fat coconut milk ((do not shake before using) (*see footnote 1))', '1 tablespoon coconut oil', '3/4 cup (110 grams) white rice flour', '1/4 cup (27 grams) tapioca starch', '1 and 1/2 teaspoon baking powder', '1 tablespoon brown sugar', '1/8 teaspoon salt', 'banana (, sliced (mango, kiwi, and/or other fruits))', 'Maple syrup', 'Coconut whipped cream']","Waffle
Preheat waffle maker.
Prepare a measuring cup for 1 cup of coconut milk. Transfer the top layer of the coconut milk from the can into your measuring cup using a spoon. Once the cup is almost filled, you should start to see coconut water in the lower half of the can. Continue transferring coconut water into the measuring cup until it’s full.
Combine coconut milk and coconut oil in a bowl. Stir to mix well. If coconut oil is solid, heat in microwave for a few seconds to melt it before using.
Combine rice flour, tapioca flour, baking powder, brown sugar, and salt in a large bowl. Mix with a spatula. Add the coconut milk mixture. Stir until all the ingredients are fully combined and it forms a smooth batter. The batter should thick enough to coat a spoon and not too runny. You should get about 1 cup of batter.
Pour batter onto the center of the waffle grid until it fills up the grid (the amount will vary depending on your waffle maker). Cook until the surface turns slightly golden, 6 to 7 minutes in my case.
Serve warm with your preferred toppings.
Let waffles rest on a cooling rack if not serving immediately. The waffles will remain crispy even after cooling down, but you should serve them the same day.
Store leftover waffles in a ziplock bag in the fridge or in the freezer for up to a month. Reheat in oven or toaster oven for a crispy texture.",en-US,"{'servingSize': '102 g', 'calories': '303 kcal', 'carbohydrateContent': '34.4 g', 'proteinContent': '3 g', 'fatContent': '18.1 g', 'saturatedFatContent': '15.7 g', 'sodiumContent': '85 mg', 'fiberContent': '2.1 g', 'sugarContent': '4.4 g'}",5.0,,Omnivore's Cookbook,11,4 serving(s)
Savory Oatmeal with Chicken and Spinach,Maggie Zhu,https://omnivorescookbook.com/savory-oatmeal-chicken-spinach/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/11/1608_Savory-Oatmeal-with-Chicken-and-Spinach_550.jpg,"['2 to 3 cups Chicken stock ((*footnote 1))', '1 cup Bob’s Red Mill Quick Cooking Rolled Oats', '1 cup leftover chicken (, shredded or cut finely)', '2 cups spinach', '1/4 teaspoon sea salt ((or to taste))', 'black pepper (, freshly grounded)', 'Soft boiled (poached or fried egg)', 'Green peas and chopped cherry tomatoes', 'Chopped green onion ((or chives))', 'Crushed roasted peanuts ((or sesame for garnish))', 'Sesame oil (soy sauce or chili oil to finish the dish)']","Add chicken stock to a small pot and bring to a boil. Add rolled oats, leftover chicken and spinach. Cook for 5 minutes and until the oats are cooked through. Stir occasionally. Add salt and pepper to taste.
Add preferred toppings and serve hot.
You can make the oatmeal ahead and store it in an airtight container and refrigerate for up to 2 days. Reheat in microwave without cover until hot. Stir once in between.",en-US,{},-1.0,,Omnivore's Cookbook,10,2 serving(s)
Scallion Biscuits & Char Siu Gravy,Maggie Zhu,https://omnivorescookbook.com/scallion-biscuits-char-siu-gravy/,Asian Fusion,https://omnivorescookbook.com/wp-content/uploads/2019/10/1910_Scallion-Biscuits-And-Char-Siu-Gravy_550.jpg,"['2 cups (260 grams) all-purpose flour (, and extra for dusting the working surface)', '1 tablespoon baking powder', '1 teaspoon salt', '4 tablespoons butter', '2 tablespoons shortening ((or butter))', '3/4 cup chilled milk (or 1 cup chilled buttermilk) (, and extra to brush onto the biscuits)', '1/2 cup sliced green onion (, divided)', '1/4 cup char siu drippings from homemade char siu', '1/4 cup (32 g) all-purpose flour', '2 cups beef stock', '1/2 teaspoon salt ((or to taste))', '3/4 cup diced char siu', '1/2 teaspoon soy sauce']","Prepare the biscuit dough
Cut butter and shortening into 1/2” (1 cm) squares and put them in a medium-sized bowl. Transfer into freezer until hard, 15 minutes or so.
Line a strainer mesh srainer over a large bowl. Sift the flour over the strainer. Add the baking powder and salt. Stir to mix well.
Once the butter and shortening are fully chilled, add them into the flour mixture. Cut with a pastry cutter or using your fingers, until the mixture is mealy with some pea-sized chunks of butter.
Pour in the cold buttermilk. Stir with a spatula until a craggy dough forms. Add most of the green onion, saving about 2 to 3 tablespoons of it for garnish.
Lightly knead the dough in the bowl with your hand until it forms a dough ball, about 1 minute.
Chill the dough in the freezer for about 10 minutes, or cover with plastic wrap and chill in the fridge until ready to use.
Cook the biscuits
Preheat the oven to 450 degrees F (232 C).
Dust your working surface with a thin layer of flour. Transfer the chilled dough onto it. Press the dough into a flat square. Cut the dough in half and fold it over itself. Repeat one more time.
Roll the dough with a rolling pin into a 1” (2.5 cm) thick sheet. Use a biscuit cutter to cut the dough into circles or you can use a knife to cut the dough into 2” (5 cm) squares. If using a biscuit cutter, you will have leftover dough. Gently gather the leftover dough together and press it until it just becomes one piece of dough (The more you handle the dough, the less it will rise during baking). Cut it into more biscuits.
Brush the top of the biscuits with a thin layer of milk.
Bake for 13 to 16 minutes, until the top turns light golden and the bottom turns golden brown.
Gravy
Add the char siu drippings into a small saucepan. Heat over medium heat until hot.
Add the flour. Stir immediately until it’s fully incorporated.
Gradually add the stock, a few tablespoons at a time, and whisk constantly. It should start to form a thick paste. Once the paste turns smooth, add more stock and keep whisking. Continue until all the stock is fully incorporated with the flour.
Keep stirring and cooking, until the sauce has thickened enough to coat your spatula.
Add the char siu and the soy sauce. Cook for another minute until the meat is heated through. Taste the gravy. Add a pinch of salt and stir to mix well, if needed.
To serve
Sprinkle the remaining green onion onto the gravy and serve it with the fresh biscuits.
You can make the dish in advance and heat it up later. Heat the biscuits in the oven at 350 F (176) until heated through. Heat up the gravy in the microwave or on the stove top.",en-US,"{'servingSize': '1 serving', 'calories': '299 kcal', 'carbohydrateContent': '26.9 g', 'proteinContent': '12.1 g', 'fatContent': '15.9 g', 'saturatedFatContent': '5.6 g', 'cholesterolContent': '36 mg', 'sodiumContent': '515 mg', 'fiberContent': '1.1 g', 'sugarContent': '1.1 g'}",-1.0,,Omnivore's Cookbook,60,8 serving(s)
5-Ingredient Savory Oatmeal (Chinese-Style),Maggie Zhu,https://omnivorescookbook.com/savory-oatmeal/,Chinese Fusion,https://omnivorescookbook.com/wp-content/uploads/2019/11/1911_5-Ingredient-Savory-Oatmeal_550.jpg,"['2 cups rolled oats', '4 cups chicken stock', '4 eggs', '2 tablespoons soy sauce ((or to taste))', '2 tablespoons sliced green onion', 'Homemade chili oil (, or sesame oil to taste(Optional))', 'Fried shallots (, or fried onions(Optional))']","Combine the rolled oats and chicken stock in a small pot. Simmer for 10 minutes over low heat or until it reaches your preferred texture. Transfer to serving bowls.
Poach the eggs in a large pot of water. Alternatively, you can pan fry them or use soft-boiled eggs.
Top the eggs on the oatmeal. Drizzle with soy sauce and sprinkle with green onion. For an extra boost of taste and texture, add chili oil (or sesame oil for a non-spicy dish), and sprinkle with fried shallots (or fried onion).",en-US,"{'servingSize': '1 serving', 'calories': '233 kcal', 'carbohydrateContent': '29.6 g', 'proteinContent': '12.2 g', 'fatContent': '7.6 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '164 mg', 'sodiumContent': '1279 mg', 'fiberContent': '4.3 g', 'sugarContent': '1.7 g'}",5.0,,Omnivore's Cookbook,20,4 serving(s)
